ListID,Name,FullName,CompanyName,ContactName,Email,Phone,AltPhone,Fax,BillAddress,BillCity,BillState,BillZip,BillCountry,ShipAddress,ShipCity,ShipState,ShipZip,ShipCountry,CustomerType,Terms,SalesRep,Balance,TotalBalance,CreditLimit,AccountNumber,IsActive,Notes
800000C0-1617705688,AssetLine,AssetLine,AssetLine Leasing Company Ltd.,,,,,,"AssetLine Leasing Company Ltd., No. 46/12, "" Sayuru Sevana"", ",Colombo 02,,,,,,,,,,,,0.00,0.00,0,,1,
800000BF-1617705688,Assetline Leasing Company Limited,Assetline Leasing Company Limited,,,,,,,"Assetline Leasing Company Limited, 120, 120A, Pannipitiya Road,",,120A,,,,,,,,,,,0.00,0.00,0,,1,
800000BE-1617705688,Assidua Technologies,Assidua Technologies,Assidua Technologies,,,0112 710 090,,,"Assidua Technologies, 149 Galle Rd,",Dehiwala-Mount Lavinia,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000BD-1617705688,Associated Electrical Corporation Limited,Associated Electrical Corporation Limited,Associated Electrical Corporation Limited,,,,,,"Associated Electrical Corporation Limited, No:140, ",VAT No. 124004179 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
800000BC-1617705688,Associated Resoorts Developers (Pvt)Ltd,Associated Resoorts Developers (Pvt)Ltd,,,,,,,"Associated Resorts Developers (Pvt)Ltd, No 49/16, Iceland Building",VAT No,,114418552-700,,,,,,,,,,0.00,0.00,0,,1,
800000BB-1617705688,Aston Electronics,Aston Electronics,Aston Electronics,,,,,,Aston Electronics,,,,,,,,,,,,,0.00,0.00,0,,1,
800000BA-1617705688,ATG Ceylon (Pvt) Ltd,ATG Ceylon (Pvt) Ltd,ATG Ceylon (Pvt) Ltd,,,,,,"ATG CEYLON (PVT) LTD., , Spur Road 7, ",Katunayake.,,,,,,,,,,,,0.00,0.00,0,,1,
800000B9-1617705688,ATG Occupational (Pvt) Ltd,ATG Occupational (Pvt) Ltd,ATG Occupational (Pvt) Ltd,,local@atg-glovesolutions.com,0114838900,,0112259317,"ATG Occupational (Pvt) Ltd, Spur Road 7, ",Katunayake.,,,,,,,,,,,,0.00,0.00,0,,1,
800000B8-1617705688,Athee,Athee,Mr. Athee,,,,,,"Mr. Athee, 108 1/4 W.A Silva Mawata",Colombo 06,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000B7-1617705688,ATHULA,ATHULA,ATHULA,,,,,,ATHULA,,,,,,,,,,,,,0.00,0.00,0,,1,
800000B6-1617705688,Austin Management Limited,Austin Management Limited,"AUSTIN MANAGEMENT LIMITED.,",,,,,,"AUSTIN MANAGEMENT LIMITED., , 30/84, Perera Gardens, ",Battaramulla.,,,,,,,,,,,,0.00,0.00,0,,1,
800000B5-1617705688,AUSTIN MANAGEMENT PVT LTD,AUSTIN MANAGEMENT PVT LTD,AUSTIN MANAGEMENT PVT LTD,,,,,,"AUSTIN MANAGEMENT PVT LTD, 30/84, PERERA GARDENS","PALAWATTE, BATTARAMULLA",,,,,,,,,,,,0.00,0.00,0,,1,
800000B4-1617705688,Authenticities Pvt Ltd,Authenticities Pvt Ltd,,,,,,,"Authenticities Pvt Ltd, Mr Prabath",,,,,,,,,,,,,0.00,0.00,0,,1,
800000B3-1617705688,Autogrill Lanka Limited,Autogrill Lanka Limited,"AUTOGRILL LANKA LIMITED.,",,,,,,"AUTOGRILL LANKA LIMITED., , 4th Floor, York Arcade Building, ","8-4/1, Leyden Bastian Road",Leyden,,,,,,,,,,,0.00,0.00,0,,1,
800000B2-1617705688,Avery Dennison Lanka (Pvt) Ltd,Avery Dennison Lanka (Pvt) Ltd,Avery Dennison Lanka (Pvt) Ltd,,,,,,"Avery Dennison Lanka (Pvt) Ltd, Block B",Biyagama,,,,,,,,,,,,0.00,0.00,0,,1,
800000B1-1617705687,Avian,Avian,Avian Technologies,,hemamali@avian.lk,0773 693160,,,"AVIAN TECHNOLOGIES (PVT) LTD., , No.45",VAT No -,,114470422-700,,,,,,,Wholesale,,A,15000.00,15000.00,0,,1,
80000204-1661402971,Avikans Pvt Ltd,Avikans Pvt Ltd,,,,,,,"Avikans Pvt Ltd, No 59, ",Rathmalana.,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000B0-1617705687,Avis Engineering & Construction (Pvt)Limi,Avis Engineering & Construction (Pvt)Limi,Avis Engineering & Construction (Pvt)Limi,,,,,,"Avis Engineering & Construction (Pvt)Limi, No:401/6  Kotte Road, ",Sri Lanka.,,,,,,,,,,,,0.00,0.00,0,,1,
80000350-1783937135,Awakening Training Academi,Awakening Training Academi,Awakening Training Academy,,,,,,"Awakening Training Academy, No. 292 A, 3rd Floor, ",Colombo - 04,,,,,,,,,,,AS,0.00,0.00,0,,1,
800000AF-1617705687,Ayurvie  Weligama (PVT) Ltd,Ayurvie  Weligama (PVT) Ltd,Ayurvie  Weligama (PVT) Ltd,,,,,,"Ayurvie  Weligama (PVT) Ltd, LE CUBE","No. 130, High Level Rd",High,,,,,,,,,,,0.00,0.00,0,,1,
800000AE-1617705687,B.M. Amal perera,B.M. Amal perera, B.M. Amal perera,,,,,," B.M. Amal perera, Dummalasooriya  RD",Bingiriya.,,,,,,,,,,,,0.00,0.00,0,,1,
800000AD-1617705687,Ballys Limited,Ballys Limited,Ballys Limited,,,,,,"Ballys Limited, No:34, ",Colombo 10,,,,,,,,,,,,0.00,0.00,0,,1,
800000AC-1617705687,Barclays Computers (Pvt) Ltd,Barclays Computers (Pvt) Ltd,Barclays Computers (Pvt) Ltd,,ihthishaam@barclays.lk,0117-510510,,0117-510509,"TIN No. 114504890, Barclays Computers (Pvt) Ltd",Colombo 04,,,,,,,,,,Cheque,AS,1649868.92,1649868.92,0,,1,
800000AB-1617705687,Base Hp (Pvt) Ltd,Base Hp (Pvt) Ltd,Base Hp (Pvt) Ltd,,accounts@basehp.lk,,,0112-506633,"TIN No. 114629480, Base Hp (Pvt) Ltd",Colombo 05.,,,,,,,,,,Cheque,A,0.00,0.00,0,,1,
800000AA-1617705687,Bell Solutions (Pvt)Ltd,Bell Solutions (Pvt)Ltd,Bell Solutions (Pvt)Ltd,,,0115-322550,,0115-530633,"Bell Solutions (Pvt)Ltd, Lanka Bell Office complex","No:344, Galle Road, Colombo 03",Galle Road,,,,,,,,,,A,0.00,0.00,0,,1,
80000317-1758859566,Berlin Engineering (PVT) LTD,Berlin Engineering (PVT) LTD,Berlin Engineering (PVT) LTD,,,,,,"Berlin Engineering (PVT) LTD, No.333 1-1, Galle Road,",Colombo 03.,,,,,,,,,,,AR,0.00,0.00,0,,1,
800002BD-1732606474,Best Pictures (Pvt) Ltd,Best Pictures (Pvt) Ltd,,,,,,,"Best Pictures (Pvt) Ltd, #191/E, ",Polgasovita.,,,,,,,,,,,A,0.00,0.00,0,,1,
800002EA-1745642329,Bharat Aponso,Bharat Aponso,,,,,,,"Bharat Aponso, 82/1, ",Colombo -04,,,,,,,,,,,AD,0.00,0.00,0,,1,
8000026E-1704277492,Bl'Blue Danube Engineering (PVT) Limited,Bl'Blue Danube Engineering (PVT) Limited,,,,,,,"Blue Danube Engineering (PVT) Limited, 1427/A, ",Pannipitiya.,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000A9-1617705687,BlueChip Technical Services(Pvt)Ltd,BlueChip Technical Services(Pvt)Ltd,,,,,,,"BlueChip Technical Services(Pvt)Ltd, #108, Nawala Road, ",VAT No.,,114684775-700,,,,,,,,,A,0.00,0.00,0,,1,
8000030D-1756278288,Brilliant Technologies,Brilliant Technologies,Brilliant Technologies,,,,,,"Brilliant Technologies, No.161/1/1, Kottawa,",Nawinna.,,,,,,,,,,,AR,0.00,0.00,0,,1,
80000229-1673588863,British Cosmetics (Pvt) Ltd,British Cosmetics (Pvt) Ltd,British Cosmetics (Pvt) Ltd,,,,,,"British Cosmetics (Pvt) Ltd, No. 174, ",VAT No. 114320293 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
800002ED-1747209528,Byte Bolster solution,Byte Bolster solution,,,,,,,"Byte Bolster solution, No.262, Park Lane, ",Colombo - 08,,,,,,,,,,,AD,0.00,0.00,0,,1,
8000030F-1756980878,Call Lanka Telecom (Pvt) Ltd,Call Lanka Telecom (Pvt) Ltd,Call Lanka Telecom (Pvt) Ltd,,,,,,"TIN No. 114217590, Call Lanka Telecom (Pvt) Ltd",Nugegoda.,,,,,,,,,,Cheque,AR,606547.40,606547.40,0,,1,
8000029D-1721105077,Cameralk (Pvt) Ltd,Cameralk (Pvt) Ltd,Cameralk (Pvt) Ltd,,,,,,"Cameralk (Pvt) Ltd, 263, High Level Road, ",VAT No.174849196 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
800001BA-1639714697,Care Lable Industries (Pvt) Ltd,Care Lable Industries (Pvt) Ltd,Care Lable Industries (Pvt) Ltd,,,,,,"Care Lable Industries (Pvt) Ltd, No 188, Pamunuwila Road",Sri Lanka.,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000186-1629438584,Cargills Bank Ltd,Cargills Bank Ltd,Cargills Bank Ltd,,,,,,"Cargills Bank Ltd, No 696, Galle Road, ",VAT No.134048476-7000,,,,,,,,,,,A,0.00,0.00,0,,1,
80000326-1767346407,CEAT Kelani International Tyres (Pvt)Ltd,CEAT Kelani International Tyres (Pvt)Ltd,,,,,,,"CEAT Kelani International Tyres (Pvt)Ltd, Nungamugoda",VAT No.114238805-7000,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000A8-1617705686,CEB - Distribution Division 01,CEB - Distribution Division 01,,,minsafnizam@gmail.com,,,,"Ceylon Electricity Board, Distribution Division 01","No 340 , R.A.De Mel Mawatha",R.A.De,,,,,,,,,,A,0.00,0.00,0,,1,
800000A7-1617705686,CEB - Kelanitissa,CEB - Kelanitissa,,,,,,,"Ceylon Electricity Board, Kelanitissa Power Station",New Kelani Bridge Road,,,,,,,,,,,A,0.00,0.00,0,,1,
800002CC-1735203309,Centra Business Advisory Pvt Ltd,Centra Business Advisory Pvt Ltd,,,,,,,"Centra Business Advisory Pvt Ltd, No.25, Simon hewawitharana Road,",,Simon,,,,,,,,,,AD,0.00,0.00,0,,1,
800002C9-1734687432,Central Engineering Consultancy Bureau,Central Engineering Consultancy Bureau,,,,,,,"Central Engineering Consultancy Bureau, No. 415, Bauddhaloka Mawatha, ",VAT No.409000100-7000,,,,,,,,,,,AS,0.00,0.00,0,,1,
800001E6-1650517789,CENTRAL ENGINEERING SERVICES (PVT) LTD,CENTRAL ENGINEERING SERVICES (PVT) LTD,CENTRAL ENGINEERING SERVICES (PVT) LTD,,,,,,"CENTRAL ENGINEERING SERVICES (PVT) LTD, CESL Base Office, SOEI Central Province, ",Rajawella.,,,,,,,,,,,AS,0.00,0.00,0,,1,
800000A6-1617705686,Cey Container Service (Pvt) Ltd,Cey Container Service (Pvt) Ltd,Cey Container Service (Pvt) Ltd,,,,,,"Cey Container Service (Pvt) Ltd, No.309/8, Negombo Road, ",VAT No.102893891 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
800000A5-1617705686,Cey Net Software Solutions (Pvt) Ltd,Cey Net Software Solutions (Pvt) Ltd,,,,,,,"CeyNet Software Solutions (Pvt) Ltd, No 312 , 3rd Floor, ",Mount Lavinia-10370,,,,,,,,,,,A,0.00,0.00,0,,1,
800000A4-1617705686,Ceylinco General Insurance Limited,Ceylinco General Insurance Limited,,,,,,,"TIN No. 139051840, General Insurance Limited","# 69 , Ceylinco House, Level 5",Ceylinco House,,,,,,,,,,AS,0.00,0.00,0,,1,
800000A3-1617705686,Ceylinco Insurance Limited,Ceylinco Insurance Limited,,,,,,,Ceylinco Insurance Limited,,,,,,,,,,,,,0.00,0.00,0,,1,
8000025D-1697605222,Ceylon Electricity Board,Ceylon Electricity Board,,,,,,,"Ceylon Electricity Board, Deputy General Manager (Thermal Complex),",Kolonnawa.,,,,,,,,,,,A,0.00,0.00,0,,1,
80000183-1628586155,Ceylon Electricity Board - Colombo City,Ceylon Electricity Board - Colombo City,Ceylon Electricity Board - Colombo City,,,,,,"Ceylon Electricity Board - Colombo City, Colombo City Control Center",Colombo 05,,,,,,,,,,,A,0.00,0.00,0,,1,
800001AC-1637294315,Ceylon Linux (Pvt) Ltd,Ceylon Linux (Pvt) Ltd,Ceylon Linux (Pvt) Ltd,,,,,,"Ceylon Linux (Pvt) Ltd, No: 1257/2, Rajamalwatta Road,",Battaramulla,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000333-1772784515,Chama Computers (Pvt) Ltd,Chama Computers (Pvt) Ltd,Chama Computers (Pvt) Ltd,,,,,,"Chama Computers (Pvt) Ltd, 110/01/01 Veyangoda Road, ",VAT No.,,103273307-700,,,,,,,,,AD,0.00,0.00,0,,1,
80000344-1779086297,Chamod Kavindu Dronegraphy (Pvt) Ltd,Chamod Kavindu Dronegraphy (Pvt) Ltd,,,,,,,"Chamod Kavindu Dronegraphy (Pvt) Ltd, 177/12, Udagalmaduwa Road, ",Kundasale,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000A2-1617705686,CHINT Energy (Pvt) ltd,CHINT Energy (Pvt) ltd,,,shahid@chintenergy.lk,,,,"CHINT Energy (Pvt) ltd, No 113 Havelock Rd,",Colombo 05,,,,,,,,,,,AS,0.00,0.00,0,,1,
800000A1-1617705686,Chris and Mayu Photographers,Chris and Mayu Photographers,,,,,,,"Chris and Mayu Photographers, 58/4, DeMel Road",Moratuwa,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000A0-1617705685,CHRISTIAN AID,CHRISTIAN AID,,,,,,,2CHRISTIAN AID,,,,,,,,,,,,,0.00,0.00,0,,1,
800002F5-1750072803,CK-CCTV Security System (pvt) Ltd,CK-CCTV Security System (pvt) Ltd,CK-CCTV Security System (pvt) Ltd,,,,,,"CK-CCTV Security System (pvt) Ltd, No. 35, Puttalam Road,",Kurunegala.,,,,,,,,,,,AR,0.00,0.00,0,,1,
80000299-1718189247,CK Electronics (pvt) ltd,CK Electronics (pvt) ltd,,,,,,,"CK Electronics (pvt) ltd, No. 50, Mahalwarawa Rd, ",Pannipitiya,,10230,,,,,,,,,AR,0.00,0.00,0,,1,
800001F4-1654745785,Clear Media Private Limited,Clear Media Private Limited,Clear Media Private Limited,,,,,,"Clear Media Private Limited, 12 Spathodea Avenue,",Colombo - 05.,,,,,,,,,,,AD,0.00,0.00,0,,1,
8000032D-1769497237,CNMS Holdings (Pvt) Ltd,CNMS Holdings (Pvt) Ltd,CNMS Holdings (Pvt) Ltd,,,,,,"CNMS Holdings (Pvt) Ltd, No, 274/5, Vidyaraja Mawatha, ",VAT No.,,102868706-700,,,,,,,,,AD,0.00,0.00,0,,1,
8000009F-1617705685,Colombo Centre For Cognitive Computing,Colombo Centre For Cognitive Computing,Colombo Centre For Cognitive Computing,,,,,,"Colombo Centre For Cognitive Computing, (Pvt) Ltd","No 752/5, Dr Danister De Silva ",Dr Danister De,,,,,,,,,,A,0.00,0.00,0,,1,
80000225-1672141490,Colombo Projects,Colombo Projects,Colombo Projects,,,,,,"Colombo Projects and, Technologies (Pvt) Ltd","Nawala Road, Nawala.",,,,,,,,,,,AS,0.00,0.00,0,,1,
8000029F-1723189533,Computerage (Pvt) Ltd,Computerage (Pvt) Ltd,,,,,,,"Computerage (Pvt) Ltd, No. 89,  D.S.Senanayeke Veediya, ",VAT No .,,114120464-700,,,,,,,,,AR,0.00,0.00,0,,1,
8000009E-1617705685,Connaissance De Ceylon,Connaissance De Ceylon,Connaissance De Ceylon,,,,,,"Connaissance De Ceylon, No 130, High Level Road",,High,,,,,,,,,,,0.00,0.00,0,,1,
8000017C-1627540123,Consolidated Business Systems Ltd.,Consolidated Business Systems Ltd.,,,,,,,"Consolidated Business Systems Ltd., 184/2, kaolin Refinery Road, ",Boralesgamuwa,,,,,,,,,,,A,0.00,0.00,0,,1,
8000013C-1618828900,Content Management & Solutions (Pvt) Ltd,Content Management & Solutions (Pvt) Ltd,,,,0115540444,,,"Content Management & Solutions (Pvt) Ltd, No.278 , 10th Floor, Access Towers",VAT No.,,114499676-700,,,,,,,,,AD,0.00,0.00,0,,1,
8000009D-1617705685,Crayon Software Lanka (Private) Ltd,Crayon Software Lanka (Private) Ltd,Crayon Software Lanka (Private) Ltd,,,,,,"Crayon Software Lanka (Private) Ltd, NO 12,",,St Kildas Lane,,Sri Lanka,,,,,,,,AD,0.00,0.00,0,,1,
800002B3-1727778493,Creattive Technologies,Creattive Technologies,,,,,,,"Creattive Technologies, No : #453A, T.B.Jayah mawatha, ",VAT No :,,770861276-700,,,,,,,,,AD,0.00,0.00,0,,1,
8000034C-1782968176,CSMD Networks,CSMD Networks,CSMD Networks,,,,,,"CSMD Networks, 279A, Swarnajothi mawatha,",panadura.,,,,,,,,,,,AR,148000.00,148000.00,0,,1,
8000019C-1633937946,Cyan Digital Technologies,Cyan Digital Technologies,,,,,,,"Cyan Digital Technologies, 75A, Sri Hemantha Mawatha, ",Galle.,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000354-1786425486,Cyrus Information Technologies (Pvt) Ltd,Cyrus Information Technologies (Pvt) Ltd,Cyrus Information Technologies (Pvt) Ltd,,,,,,"TIN No.102436385, Cyrus Information Technologies (Pvt) Ltd",Colombo -06,,,,,,,,,,CASH,AR,0.00,0.00,0,,1,
800002A9-1724902075,D-TECH (PVT) LTD,D-TECH (PVT) LTD,,,,,,,"D-TECH (PVT) LTD, #110, ",VAT No.,,174996571-700,,,,,,,,,A,0.00,0.00,0,,1,
800002F0-1748518381,D. Samson Industries (Pvt) Ltd,D. Samson Industries (Pvt) Ltd,,,,,,,"D. Samson Industries (Pvt) Ltd, Sportswear Plant",VAT No.104025218-7000,,,,,,,,,,,AS,0.00,0.00,0,,1,
8000009C-1617705685,D.Samson Industries (Pvt) Ltd,D.Samson Industries (Pvt) Ltd,D.Samson Industries (Pvt) Ltd,,,,,,"D.Samson Industries (Pvt) Ltd, PO Box - 46, D.Samson",VAT No.104025218-7000,,,,,,,,,,,AS,0.00,0.00,0,,1,
80000340-1778484309,D & A Technologies (pvt) ltd,D & A Technologies (pvt) ltd,D & A Technologies (pvt) ltd,,,,,,"D & A Technologies (pvt) ltd, No : 858/A , siyambalapewaththa,",Delgoda.,,,,,,,,,,,AR,0.00,0.00,0,,1,
8000018A-1631105765,D C L Engineering (Private) Limited,D C L Engineering (Private) Limited,D C L Engineering (Private) Limited,,,,,,"D C L Engineering (Private) Limited, Level 01,",,"No. 21/1/1, Koswatta ",,Sri Lanka,,,,,,,,AS,0.00,0.00,0,,1,
800001CF-1642070175,Danushka Senadeera Photography,Danushka Senadeera Photography,Danushka Senadeera Photography,,,,,,"Danushka Senadeera Photography, No.17/2, ",Pannipitiya.,,,,Danushka Senadeera Photography,Pannipitiya.,,,,,,AD,0.00,0.00,0,,1,
80000241-1684831266,DAP Technologies,DAP Technologies,,,,,,,"DAP Technologies, No.166/3B, ",Kelaniya.,,,,,,,,,,,AD,0.00,0.00,0,,1,
800002D9-1739425969,Darshana Digital Colour Lab (Pvt) Ltd,Darshana Digital Colour Lab (Pvt) Ltd,,,,,,,Darshana Digital Colour Lab (Pvt) Ltd,,,,,,,,,,,,,0.00,0.00,0,,1,
80000355-1787304445,Darshana Traders (Pvt) Ltd,Darshana Traders (Pvt) Ltd,Darshana Traders (Pvt) Ltd,,,,,,"TIN No. 218046711, Darshana Traders (Pvt) Ltd",Tangalle.,,,,,,,,,,Cheque,AD,0.00,0.00,0,,1,
8000009B-1617705685,Data E Net Computer Systems (Pvt) Ltd,Data E Net Computer Systems (Pvt) Ltd,Data E Net Computer Systems (Pvt) Ltd,,,,,,"Data E Net Computer Systems (Pvt) Ltd, No 264, Peradeniya Road, ",VAT No,,114802573-700,,,,,,,,,AR,-0.40,-0.40,0,,1,
8000009A-1617705685,Data Holiday (Pvt) Ltd,Data Holiday (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,0.00,0.00,0,,1,
80000099-1617705685,Data Management Systems (Pvt) Limited,Data Management Systems (Pvt) Limited,Data Management Systems (Pvt) Limited,,,,,,"TIN No. 104047440, Data Management Systems (Pvt) Limited",Colombo 07,,,,,,,,,,Cheque,A,690565.50,690565.50,0,,1,
80000098-1617705685,Data one Solutions (Pvt) Ltd,Data one Solutions (Pvt) Ltd,Data one Solutions (Pvt) Ltd,,,,,,"Data one Solutions (Pvt) Ltd, No 28, Sulaiman Terrace,",Colombo 05,,,,,,,,,,,A,0.00,0.00,0,,1,
8000015E-1620626754,Datalink Solutions (PVT) Ltd,Datalink Solutions (PVT) Ltd,Datalink Solutions (PVT) Ltd,Dulana,Dulana00@gmail.com,O717304596,,,"Datalink Solutions (PVT) Ltd, No 773, Kadawatha Road ,",,Kadawatha,,,,,,,,,,AD,0.00,0.00,0,,1,
800002B7-1728971536,DATAVERSE IT SOLUTIONS (PVT)LTD,DATAVERSE IT SOLUTIONS (PVT)LTD,,,,,,,"DATAVERSE IT SOLUTIONS (PVT)LTD, 841/A, Waragoda Road,",Kelaniya.,,,,,,,,,,,AR,0.00,0.00,0,,1,
80000097-1617705685,David Pieris Holdings (PVT) Ltd,David Pieris Holdings (PVT) Ltd,David Pieris Holdings (PVT) Ltd,,,,,,"David Pieris Holdings (PVT) Ltd, 75, Hyde Park Corner,",,Hyde,,,,,,,,,,,0.00,0.00,0,,1,
800001E7-1650866474,Debug Computer Peripherals (Pvt) Ltd,Debug Computer Peripherals (Pvt) Ltd,Debug Computer Peripherals (Pvt) Ltd,,,,,,"Debug Computer Peripherals (Pvt) Ltd, No 58, 42nd Lane, ",VAT No.114056103-7000,,,,Debug Computer Peripherals (Pvt) Ltd,,,,,,,AD,88500.00,88500.00,0,,1,
80000161-1622803309,Delmage Forsyth & Co. Ltd,Delmage Forsyth & Co. Ltd,Delmage Forsyth & Co. Ltd,,,,,,"Delmage Forsyth & Co. Ltd, No 101, Vinayalankara Mw",Colombo 10,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000096-1617705685,Denipitiya Studio,Denipitiya Studio,,,,,,,"Denipitiya Studio, No 82/2, Miriswatta,",Gampaha,,,,,,,,,,,,170000.00,170000.00,0,,1,
800002E6-1743154582,Derana Macroentertainment Pvt. Ltd,Derana Macroentertainment Pvt. Ltd,,,,,,,"Derana Macroentertainment Pvt Ltd, No. 320, Level 4 T.B Jayah Mawatha",VAT No.114665517 -7000,,,,,,,,,,,A,0.00,0.00,0,,1,
8000034B-1782530059,Derby Lanka Pvt Ltd,Derby Lanka Pvt Ltd,Derby Lanka Pvt Ltd,,,,,,"Derby Lanka Pvt Ltd, A-6, Seethawaka Export Processing Zone, ",VAT No.,,114251240-700,,,,,,,,,AS,0.00,0.00,0,,1,
80000095-1617705684,Designology.lk,Designology.lk,,,,,,,"Designology.lk, No- 10E, Church Road ,",,Church,,,,,,,,,,AD,0.00,0.00,0,,1,
800002C8-1734676157,DEZiGN INTELLIGENCE (PVT)LTD,DEZiGN INTELLIGENCE (PVT)LTD,DEZiGN INTELLIGENCE (PVT)LTD,,,,,,"DEZiGN INTELLIGENCE (PVT)LTD, #10, Maya Avenue,",Colombo - 04,,,,,,,,,,,AD,0.00,0.00,0,,1,
800002C1-1733713438,Dialog Broadband Networks (Pvt) Ltd,Dialog Broadband Networks (Pvt) Ltd,Dialog Broadband Networks (Pvt) Ltd,,,,,,"Dialog Broadband Networks (Pvt) Ltd, 475, Union Place, ",VAT No.114115983-7000,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000094-1617705684,Digital Mobility Solutions Lanka (pvt)Ltd,Digital Mobility Solutions Lanka (pvt)Ltd,Digital Mobility Solutions Lanka (pvt)Ltd,,,,,,"Digital Mobility Solutions Lanka (pvt)Ltd, No:309 , ",VAT No-,,174034419-700,,,,,,,,,AS,0.00,0.00,0,,1,
80000093-1617705684,Digital Post Services (Pvt) Ltd,Digital Post Services (Pvt) Ltd,Digital Post Services (Pvt) Ltd,,,,,,"Digital Post Services (Pvt) Ltd, 7A 1/1, Koranelis Mawatha",Kotte,,10100,,,,,,,,,AD,0.00,0.00,0,,1,
80000092-1617705684,Digitech Holdings (pvt) Ltd,Digitech Holdings (pvt) Ltd,,,,,,,Digitech Holdings (pvt) Ltd,,,,,,,,,,,,,0.00,0.00,0,,1,
80000324-1766575703,Dilru Production (Pvt) Ltd,Dilru Production (Pvt) Ltd,,,,,,,"Dilru Production (Pvt) Ltd, 2G-6, BMICH",Colombo -07,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000227-1672733674,Dipped Products PLC,Dipped Products PLC,Dipped Products PLC,,,,,,"Dipped Products PLC, No.400 Deans Road,",Colombo 10,,,,,,,,,,,A,0.00,0.00,0,,1,
8000032F-1769667564,DMS Electronics (Pvt) Ltd Division 02,DMS Electronics (Pvt) Ltd Division 02,DMS Electronics (Pvt) Ltd Division 02,,,,,,"DMS Electronics (Pvt) Ltd Division 02, No. 71/A, ",VAT No. 104074375 -,,7000,,,,,,,,,A,0.00,0.00,0,,1,
8000031C-1762156349,DOT INK (PVT) LTD,DOT INK (PVT) LTD,DOT INK (PVT) LTD,,,,,,"DOT INK (PVT) LTD, #229/J, Enderamulla, ",VAT No.178769677-7000,,,,,,,,,,,AR,0.00,0.00,0,,1,
80000160-1622462030,DPL Holdings Pvt Ltd,DPL Holdings Pvt Ltd,DPL Holdings Pvt Ltd,,,,,,"DPL Holdings Pvt Ltd, Abeyrathne Mawatha,",Boralesgamuwa,,,,,,,,,,,AS,0.00,0.00,0,,1,
800002D4-1737612263,Dr. Chinthaka Jayakody,Dr. Chinthaka Jayakody,,,,,,,"Dr. Chinthaka Jayakody, Ward 02",Ragama.,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000091-1617705684,DYN TECH ENTERPRISES,DYN TECH ENTERPRISES,DYN TECH ENTERPRISES,,,0714813614,,2934720,"DYN TECH ENTERPRISES, 115, Negombo Road, ",VAT No -,,409251447-700,,,,,,,,,A,0.00,0.00,0,,1,
8000033E-1778132500,DZone Pvt Ltd,DZone Pvt Ltd,DZone Pvt Ltd,,,,,,"DZone Pvt Ltd, No.170, Isuruwimana, Munagama,",Horana.,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000246-1685703809,E-Net Integrated Solutions (Pvt.) Ltd,E-Net Integrated Solutions (Pvt.) Ltd,,,,,,,"E-Net Integrated Solutions (Pvt.) Ltd, No.178/C, ",Boralesgamuwa.,,,,,,,,,,,A,0.00,0.00,0,,1,
80000215-1664769450,E-Net Integrated Solutions (Pvt) Ltd,E-Net Integrated Solutions (Pvt) Ltd,,,,,,,"E-Net Integrated Solutions (Pvt) Ltd, No 178/C, Neelammahara Road,",Boralesgamuwa,,,,,,,,,,CASH,AR,44000.00,44000.00,0,,1,
8000028E-1716272162,E-Screen Systems (Pvt) Ltd,E-Screen Systems (Pvt) Ltd,,,,,,,"E-Screen Systems (Pvt) Ltd, 638/2, High Level Road, ",VAT No. 114490482 -7000,,,,,,,,,,,A,0.00,0.00,0,,1,
800002E8-1744099783,E Con Network (Pvt) Ltd,E Con Network (Pvt) Ltd,,,,,,,"E Con Network (Pvt) Ltd, Level 01 HQ Colombo",VAT No.103208858-7000,,,,,,,,,,,AR,0.00,0.00,0,,1,
800002EC-1746784305,E Tech IT Solutions Pvt Ltd,E Tech IT Solutions Pvt Ltd,E Tech IT Solutions Pvt Ltd,,,,,,"E Tech IT Solutions Pvt Ltd, No.273/B Colombo Road Kapuwaththa",VAT No.,,107252967-700,,,,,,,,,AD,0.00,0.00,0,,1,
